17 October 2015,6:45 AM,Tottenham Hotspur,Liverpool
17 October 2015,9:00 AM,Chelsea,Aston Villa
17 October 2015,9:00 AM,Everton,Manchester United
17 October 2015,9:00 AM,Manchester City,Bournemouth
17 October 2015,9:00 AM,Southampton,Leicester City
17 October 2015,9:00 AM,Crystal Palace,West Ham United
17 October 2015,9:00 AM,West Bromwich Albion,Sunderland
17 October 2015,11:30 AM,Watford,Arsenal
18 October 2015,11:07 AM,Newcastle United,Norwich City
19 October 2015,2:00 PM,Swansea City,Stoke City
